product_name,manufacturer,product_price,stock,total_reviews,rating,main_category,sub_category_1,sub_category_2,sub_category_3
Dapol Model Railway Stanier 57ft Non-Corridor Coach - OO Gauge Plastic Kit,Dapol,14.99,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Faller 140428,Faller,,3.0,4.0,4.8,Hobbies , Model Trains & Railway Sets , Accessories , Recreational Activities
Hornby R3086 RailRoad LNER 4-6-2 'Flying Scotsman' Class A3 00 Gauge Steam Locomotive,Hornby,69.99,11.0,17.0,4.8,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Ratio 271 Pratt Truss Signal Gantry Kit to span two tracks,Ratio,3.4,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Lighting & Signal Engineering , Signal & Sound
Ohigawa Railway SL [Kawane-ji] (4-Car Set) (Model Train),Kato,50.81,16.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
HIGH SPEED TRAIN BUMP AND GO WITH MUSIC AND LIGHT HIGH QUALITY TOY,ARSUK,4.99,,1.0,4.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
"TRIX T23469 H0 Luggage wagon of K.BAY.STS.instance, Luggage van",Trix,36.51,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Dapol Stanier 57ft Non Corridor Brake Coach - OO Gauge Plastic Kit,Dapol,14.99,2.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
S-60 EF66 Electric Locomotive (Tomica PlaRail Model Train) (japan import),Takara Tomy,11.58,31.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
Power Trains Freight Military (Pack of 4),Power Trains,,1.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby R1138 GWR Passenger Freight 00 Gauge Electric Train Set,Hornby,79.95,9.0,53.0,4.6,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
WD Austerity 2-8-0 90448 BR Black Late Crest (DCC,RAILWAY - BACHMANN,135.0,,3.0,4.7,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
"KATO 70148015 N Portram TLR 601 Portram, grün",Kato,42.98,29.0,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Locomotives
I/G (2) Oldtime Lanterns Working,Busch,50.01,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Lighting & Signal Engineering , Lamps & Lighting
Piko 53366 KSStEB 1st/2nd Class Coach I,Piko,34.95,,1.0,5.0,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Hornby Digital 15 V 4 Amp Transformer,Hornby,28.99,6.0,5.0,4.6,Hobbies , Model Trains & Railway Sets , Rail Vehicles , Trains
Faller 140431,Faller,,3.0,2.0,4.5,Hobbies , Model Trains & Railway Sets , Accessories , Recreational Activities
